Artist,Video Name,URL,Song Name,Release Year,Album,Live or Studio,Track Number
Opeth,Opeth - Nectar,https://www.youtube.com/watch?v=5D33c6rRVC0,Nectar,1996,Morningrise,Studio,3
Opeth,Opeth - Black Rose Immortal,https://www.youtube.com/watch?v=Xvtmhxjc4ao,Black Rose Immortal,1996,Morningrise,Studio,4
Opeth,Opeth - To Bid You Farewell,https://www.youtube.com/watch?v=qxu1bku4wN0,To Bid You Farewell,1996,Morningrise,Studio,5
Opeth,Opeth - Eternal Soul Torture,https://www.youtube.com/watch?v=GarYdESzo8w,Eternal Soul Torture,1996,Morningrise,Studio,6
Opeth,Opeth - April Ethereal (Live at the Royal Albert Hall),https://www.youtube.com/watch?v=HAozfqjLwv4,April Ethereal,1998,"My Arms, Your Hearse",Live,2
Opeth,Opeth - When (The Roundhouse Tapes),https://www.youtube.com/watch?v=toBy26gqCXA,When,1998,"My Arms, Your Hearse",Live,3
Opeth,Opeth - The Amen Corner,https://www.youtube.com/watch?v=LHecBwDxwm4,The Amen Corner,1998,"My Arms, Your Hearse",Live,5
Opeth,OPETH - Demon of the Fall (Official Live Video),https://www.youtube.com/watch?v=9In0bTUquIc,Demon of the Fall,1998,"My Arms, Your Hearse",Live,6
Opeth,Opeth - Credence | Live in Sydney | Moshcam,https://www.youtube.com/watch?v=yvfsC678FJQ,Credence,1998,"My Arms, Your Hearse",Live,7
Opeth,Opeth - Karma - Live at The Newport - Columbus - 2009,https://www.youtube.com/watch?v=5Jn-w7X_dXI,Karma,1998,"My Arms, Your Hearse",Live,8
Opeth,Opeth - Prologue/ April Ethereal,https://www.youtube.com/watch?v=_gVqVYeztDk,Prologue,1998,"My Arms, Your Hearse",Studio,1
Opeth,Opeth - April Ethereal,https://www.youtube.com/watch?v=xS9smwY7jYU,April Ethereal,1998,"My Arms, Your Hearse",Studio,2
Opeth,Opeth - When,https://www.youtube.com/watch?v=3U7bToZghYU,When,1998,"My Arms, Your Hearse",Studio,3
Opeth,Opeth - Madrigal,https://www.youtube.com/watch?v=9esp7Bj5vKM,Madrigal,1998,"My Arms, Your Hearse",Studio,4
Opeth,Opeth - The Amen Corner,https://www.youtube.com/watch?v=c_G-p98ey3M,The Amen Corner,1998,"My Arms, Your Hearse",Studio,5
Opeth,Opeth - Demon of the Fall,https://www.youtube.com/watch?v=fT_waNzdKMg,Demon of the Fall,1998,"My Arms, Your Hearse",Studio,6
Opeth,Opeth - Credence,https://www.youtube.com/watch?v=Nt5_yybG9f4,Credence,1998,"My Arms, Your Hearse",Studio,7
Opeth,Opeth - Karma,https://www.youtube.com/watch?v=ptiKvP77CdU,Karma,1998,"My Arms, Your Hearse",Studio,8
Opeth,Opeth - Epilogue,https://www.youtube.com/watch?v=x1UXEZg8VkE,Epilogue,1998,"My Arms, Your Hearse",Studio,9
Opeth,Opeth - Circle of the Tyrants,https://www.youtube.com/watch?v=eiT4_rxthpw,Circle of the Tyrants,1998,"My Arms, Your Hearse",Studio,10
Opeth,Opeth - Remember Tomorrow (Iron Maiden Cover),https://www.youtube.com/watch?v=E4KPTc7uKOc,Remember Tomorrow,1998,"My Arms, Your Hearse",Studio,11
Opeth,Opeth - The Moor (Live at the Royal Albert Hall),https://www.youtube.com/watch?v=YVaRkTpqd0w,The Moor,1999,Still Life,Live,1
Opeth,"Opeth-Godhead´s Lament & Advent Live in Oslo,Norway 2003 [Pro shot,Good Quality! ]",https://www.youtube.com/watch?v=ew_y-4RjlhM,Godhead's Lament,1999,Still Life,Live,2
Opeth,"Opeth Unplugged - Benighted - Union Chapel, London.",https://www.youtube.com/watch?v=Zp1zvW_g9gY,Benighted,1999,Still Life,Live,3
Opeth,Moonlapse Vertigo,https://www.youtube.com/watch?v=2Jee7U_Zin0,Moonlapse Vertigo,1999,Still Life,Live,4
Opeth,Opeth - Face Of Melinda | Live in Sydney | Moshcam,https://www.youtube.com/watch?v=XYKQ4530epw,Face Of Melinda,1999,Still Life,Live,5
Opeth,Opeth - Serenity Painted Death live (March 8th 2008),https://www.youtube.com/watch?v=pxvUwrvDVeA,Serenity Painted Death,1999,Still Life,Live,6
Opeth,"[FULL HD] White Cluster - Opeth Live @ Night of the Prog VIII, Loreley, 14.07.2013",https://www.youtube.com/watch?v=MO3zCgPGwW4,White Cluster,1999,Still Life,Live,7
Opeth,Opeth - The Moor,https://www.youtube.com/watch?v=adOWWbEfyiQ&list=PLbYmI1TlpyY-RduJyaCNHUnnAvOwbsbaO&index=1,The Moor,1999,Still Life,Studio,1
Opeth,Opeth - Godhead's Lament,https://www.youtube.com/watch?v=2-DVhzFGXjE&list=PLbYmI1TlpyY-RduJyaCNHUnnAvOwbsbaO&index=2,Godhead's Lament,1999,Still Life,Studio,2
Opeth,Opeth - Benighted,https://www.youtube.com/watch?v=TS4ZrRE6VZs&list=PLbYmI1TlpyY-RduJyaCNHUnnAvOwbsbaO&index=3,Benighted,1999,Still Life,Studio,3
Opeth,Opeth - Moonlapse Vertigo,https://www.youtube.com/watch?v=SVSnJxxXa_M&list=PLbYmI1TlpyY-RduJyaCNHUnnAvOwbsbaO&index=4,Moonlapse Vertigo,1999,Still Life,Studio,4
Opeth,Opeth - Face Of Melinda,https://www.youtube.com/watch?v=ybC6iBWLZ6k&list=PLbYmI1TlpyY-RduJyaCNHUnnAvOwbsbaO&index=5,Face Of Melinda,1999,Still Life,Studio,5
Opeth,Opeth - Serenity Painted Death,https://www.youtube.com/watch?v=Z7cuL_JxHOE&list=PLbYmI1TlpyY-RduJyaCNHUnnAvOwbsbaO&index=6,Serenity Painted Death,1999,Still Life,Studio,6
Opeth,Opeth - White Cluster,https://www.youtube.com/watch?v=nl2BRe_BYtY&list=PLbYmI1TlpyY-RduJyaCNHUnnAvOwbsbaO&index=7,White Cluster,1999,Still Life,Studio,7
Opeth,"Opeth - The Leper Affinity (Live at Shepherd's Bush Empire, London)",https://www.youtube.com/watch?v=jXXxMk720kg,The Leper Affinity,2001,Blackwater Park,Live,1
Opeth,Opeth - Bleak (Live at The Royal Albert Hall) HQ,https://www.youtube.com/watch?v=ZHU8Ka8CfTI,Bleak ,2001,Blackwater Park,Live,2
Opeth,"Opeth - Harvest (Live at Shepherd's Bush Empire, London)",https://www.youtube.com/watch?v=8OyD9hacXBQ,Harvest,2001,Blackwater Park,Live,3
Opeth,"Opeth - The Drapery Falls (Live at Shepherd's Bush Empire, London)",https://www.youtube.com/watch?v=s_trbJ8T5lk,The Drapery Falls ,2001,Blackwater Park,Live,4
Opeth,Opeth - Dirge For November (LIVE),https://www.youtube.com/watch?v=0QwWydffbc4,Dirge for November,2001,Blackwater Park,Live,5
Opeth,Opeth - The Funeral Portrait [In Live Concert at The Royal Albert Hall] HD,https://www.youtube.com/watch?v=n7IwGX2_a8w,The Funeral Portrait,2001,Blackwater Park,Live,6
Opeth,"Opeth - Patterns In The Ivy II live @ the Mayan Theatre, Los Angeles, CA 10/19/11",https://www.youtube.com/watch?v=HT43vwCf79A,Patterns in the Ivy,2001,Blackwater Park,Live,7
Opeth,Opeth - Blackwater Park - 2010 - In Live Concert at the Royal Albert Hall,https://www.youtube.com/watch?v=sdWB7-uL3fE,Blackwater Park,2001,Blackwater Park,Live,8
Opeth,Opeth - The Leper Affinity (Audio),https://www.youtube.com/watch?v=nKpIwX2P118&list=PL_9gWeiShHFHzpU20PyVHiawAuPCJH9qH,The Leper Affinity,2001,Blackwater Park,Studio,1
Opeth,Opeth - Bleak (Audio),https://www.youtube.com/watch?v=5Zdg4Sbefg4&list=PL_9gWeiShHFHzpU20PyVHiawAuPCJH9qH&index=2,Bleak ,2001,Blackwater Park,Studio,2
Opeth,Opeth - Harvest (Audio),https://www.youtube.com/watch?v=lf7xORUJskc&list=PL_9gWeiShHFHzpU20PyVHiawAuPCJH9qH&index=3,Harvest,2001,Blackwater Park,Studio,3
Opeth,Opeth - The Drapery Falls (Audio),https://www.youtube.com/watch?v=YeTNkPXRrVY&list=PL_9gWeiShHFHzpU20PyVHiawAuPCJH9qH&index=4,The Drapery Falls ,2001,Blackwater Park,Studio,4
Opeth,Opeth - Dirge for November (Audio),https://www.youtube.com/watch?v=CPb7_Wq2Sn4&list=PL_9gWeiShHFHzpU20PyVHiawAuPCJH9qH&index=5,Dirge for November,2001,Blackwater Park,Studio,5
Opeth,Opeth - The Funeral Portrait (Audio),https://www.youtube.com/watch?v=KrbtnCHv-Hc&list=PL_9gWeiShHFHzpU20PyVHiawAuPCJH9qH&index=6,The Funeral Portrait,2001,Blackwater Park,Studio,6
Opeth,Opeth - Patterns in the Ivy (Audio),https://www.youtube.com/watch?v=_gqZeIMO7bo&list=PL_9gWeiShHFHzpU20PyVHiawAuPCJH9qH&index=7,Patterns in the Ivy,2001,Blackwater Park,Studio,7
Opeth,Opeth - Blackwater Park (Audio),https://www.youtube.com/watch?v=j4xCb_OU_lM&list=PL_9gWeiShHFHzpU20PyVHiawAuPCJH9qH&index=8,Blackwater Park,2001,Blackwater Park,Studio,8
Opeth,OPETH - Wreath (live at the Royal Albert Hall),https://www.youtube.com/watch?v=AS2yEAK9DS4,Wreath,2002,Deliverance,Live,1
Opeth,"Opeth - Deliverance (Live at Shepherd's Bush Empire, London)",https://www.youtube.com/watch?v=c1Lkc3OqtDU,Deliverance,2002,Deliverance,Live,2
Opeth,"Opeth - A Fair Judgement (Live at Shepherd's Bush Empire, London)",https://www.youtube.com/watch?v=07j2xVgyqyc,A Fair Judgement,2002,Deliverance,Live,3
Opeth,"Opeth - Master's Apprentices (Live at Shepherd's Bush Empire, London)",https://www.youtube.com/watch?v=pQ9u9cz0Xag,Master's Apprentices,2002,Deliverance,Live,5
Opeth,"Opeth By the Pain I See in Others NYC October 1, 2016",https://www.youtube.com/watch?v=pOZZElOhDwA,By the Pain I See in Others,2002,Deliverance,Live,6
Opeth,Opeth - Wreath (Audio),https://www.youtube.com/watch?v=S-NSvnolVQo,Wreath,2002,Deliverance,Studio,1
Opeth,Opeth - Deliverance (Audio),https://www.youtube.com/watch?v=rggQNCS8UjM,Deliverance,2002,Deliverance,Studio,2
Opeth,Opeth - A Fair Judgement (Audio),https://www.youtube.com/watch?v=6EUqGV4ZZz0,A Fair Judgement,2002,Deliverance,Studio,3
Opeth,Opeth - For Absent Friends (Audio),https://www.youtube.com/watch?v=71fBeSgWhb8,For Absent Friends,2002,Deliverance,Studio,4
Opeth,Opeth - Master's Apprentices (Audio),https://www.youtube.com/watch?v=4hR7S3lLP28,Master's Apprentices,2002,Deliverance,Studio,5
Opeth,Opeth - By the Pain I See in Others (Audio),https://www.youtube.com/watch?v=xdsKvcOCGYM,By the Pain I See in Others,2002,Deliverance,Studio,6
Opeth,"Opeth - Windowpane (Live at Shepherd's Bush Empire, London)",https://www.youtube.com/watch?v=3LMxLIcRWy8,Windowpane,2003,Damnation,Live,1
Opeth,"Opeth - In My Time of Need (Live at Shepherd's Bush Empire, London)",https://www.youtube.com/watch?v=4vu5_-EeMME,In My Time of Need,2003,Damnation,Live,2
Opeth,"Opeth - Death Whispered a Lullaby (Live at Shepherd's Bush Empire, London)",https://www.youtube.com/watch?v=_8VL4CQhzp4,Death Whispered a Lullaby,2003,Damnation,Live,3
Opeth,"Opeth - Closure (Live at Shepherd's Bush Empire, London)",https://www.youtube.com/watch?v=I36YYr-Qtto,Closure,2003,Damnation,Live,4
Opeth,"Opeth - Hope Leaves (Live at Shepherd's Bush Empire, London)",https://www.youtube.com/watch?v=29IGTX7BFpg,Hope Leaves,2003,Damnation,Live,5
Opeth,"Opeth - To Rid the Disease (Live at Shepherd's Bush Empire, London)",https://www.youtube.com/watch?v=5WlvMM-UfUM,To Rid the Disease,2003,Damnation,Live,6
Opeth,"Opeth - Ending Credits (Live at Shepherd's Bush Empire, London)",https://www.youtube.com/watch?v=vKe7d2onrRY,Ending Credits,2003,Damnation,Live,7
Opeth,"Opeth - Weakness (Live at Shepherd's Bush Empire, London)",https://www.youtube.com/watch?v=qYFccQiR3pw,Weakness,2003,Damnation,Live,8
Opeth,Opeth - Windowpane (Audio),https://www.youtube.com/watch?v=bSpqLqC7U6g,Windowpane,2003,Damnation,Studio,1
Opeth,Opeth - In My Time of Need (Audio),https://www.youtube.com/watch?v=razzBeBLDG4,In My Time of Need,2003,Damnation,Studio,2
Opeth,Opeth - Death Whispered a Lullaby (Audio),https://www.youtube.com/watch?v=sAuL3AszIiE,Death Whispered a Lullaby,2003,Damnation,Studio,3
Opeth,Opeth - Closure (Audio),https://www.youtube.com/watch?v=XxwPjDz1sKE,Closure,2003,Damnation,Studio,4
Opeth,Opeth - Hope Leaves (Audio),https://www.youtube.com/watch?v=cGPRoszjnWA,Hope Leaves,2003,Damnation,Studio,5
Opeth,Opeth - To Rid the Disease (Audio),https://www.youtube.com/watch?v=tcK-Ar7LBCA,To Rid the Disease,2003,Damnation,Studio,6
Opeth,Opeth - Ending Credits (Audio),https://www.youtube.com/watch?v=n-5P6UJNQZU,Ending Credits,2003,Damnation,Studio,7
Opeth,Opeth - Weakness (Audio),https://www.youtube.com/watch?v=_1BIcwJDy5c,Weakness,2003,Damnation,Studio,8
Opeth,OPETH - Ghost of Perdition (LIVE AT RED ROCKS AMPHITHEATRE),https://www.youtube.com/watch?v=BAlDEcQMLio,Ghost of Perdition,2005,Ghost Reveries,Live,1
Opeth,Opeth - The Grand Conjuration @ Sonisphere UK 2011 1/5,https://www.youtube.com/watch?v=8SL1zO0HGUs,The Grand Conjuration,2005,Ghost Reveries,Live,2
Opeth,"Opeth - ""Beneath the Mire"" (Live in Los Angeles 10-24-15)",https://www.youtube.com/watch?v=SCUPQ_WpMlU,Beneath the Mire,2005,Ghost Reveries,Live,3
Opeth,"Opeth - ""The Baying of the Hounds"" (Live in Los Angeles 10-24-15)",https://www.youtube.com/watch?v=fQasnfCnPOQ,The Baying of the Hounds,2005,Ghost Reveries,Live,4
Opeth,OPETH- Harlequin Forest at the Royal Albert Hall High Def!,https://www.youtube.com/watch?v=0HRett4kOpM,Reverie / Harlequin Forest,2005,Ghost Reveries,Live,5
Opeth,Opeth - Atonement (Record Store Day Performance 2013),https://www.youtube.com/watch?v=yQ6bAwWH078,Atonement,2005,Ghost Reveries,Live,6
Opeth,"Opeth - ""Hours of Wealth"" (Live in Los Angeles 10-24-15)",https://www.youtube.com/watch?v=dXawwmpK_y8,Hours of Wealth,2005,Ghost Reveries,Live,7
Opeth,Opeth - Soldier Of Fortune (clip edit performances),https://www.youtube.com/watch?v=edmnDDdlZ78,Soldier of Fortune,2005,Ghost Reveries,Live,8
Opeth,Opeth - Ghost of Perdition (Audio),https://www.youtube.com/watch?v=MDBykpSXsSE,Ghost of Perdition,2005,Ghost Reveries,Studio,1
Opeth,Opeth - The Grand Conjuration (Audio),https://www.youtube.com/watch?v=2kKNT3PdDkE,The Grand Conjuration,2005,Ghost Reveries,Studio,2
Opeth,Opeth - Beneath the Mire (Audio),https://www.youtube.com/watch?v=QlT1sRHf34M,Beneath the Mire,2005,Ghost Reveries,Studio,3
Opeth,Opeth - The Baying of the Hounds (Audio),https://www.youtube.com/watch?v=vQbH4vFYYVs,The Baying of the Hounds,2005,Ghost Reveries,Studio,4
Opeth,Opeth - Reverie / Harlequin Forest (Audio),https://www.youtube.com/watch?v=nIo3lpXrc5A,Reverie / Harlequin Forest,2005,Ghost Reveries,Studio,5
Opeth,Opeth - Atonement (Audio),https://www.youtube.com/watch?v=v56MhdEHBzQ,Atonement,2005,Ghost Reveries,Studio,6
Opeth,Opeth - Hours of Wealth (Audio),https://www.youtube.com/watch?v=tBQ-b-IajzA,Hours of Wealth,2005,Ghost Reveries,Studio,7
Opeth,Opeth - Soldier of Fortune,https://www.youtube.com/watch?v=y2a6LyIYYok,Soldier of Fortune,2005,Ghost Reveries,Studio,8
Opeth,Opeth - Coil (Live TV) Subtitulos HD,https://www.youtube.com/watch?v=maW38NckYPQ,Coil,2008,Watershed Album,Live,1
Opeth,14) Opeth - Heir Apparent (Wacken Live 2008),https://www.youtube.com/watch?v=qrWqkWmKoJY,Heir Apparent,2008,Watershed Album,Live,2
Opeth,OPETH- Lotus Eater Live at the Royal Albert Hall High Def!,https://www.youtube.com/watch?v=Yqz2Fw6lI0E,The Lotus Eater,2008,Watershed Album,Live,3
Opeth,Opeth Burden HD - live TV4,https://www.youtube.com/watch?v=ZpcFBHcYFVo,Burden,2008,Watershed Album,Live,4
Opeth,Opeth - Porcelain Heart | Live in Sydney | Moshcam,https://www.youtube.com/watch?v=3xc9Mq6uXeY,Porcelain Heart,2008,Watershed Album,Live,5
Opeth,Opeth - Hessian Peel (Live in Brisbane 2009),https://www.youtube.com/watch?v=rhfOWrOrSNc,Hessian Peel,2008,Watershed Album,Live,6
Opeth,Opeth - Hex Omega | Live in Sydney | Moshcam,https://www.youtube.com/watch?v=xJqPBND2CWE,Hex Omega,2008,Watershed Album,Live,7
Opeth,Opeth - Coil (Audio),https://www.youtube.com/watch?v=Kg4LUtFLOIc&list=PLvGkfagybAaZxmaV4E59aXme4QBoZDDMA&index=1,Coil,2008,Watershed Album,Studio,1
Opeth,Opeth - Heir Apparent (Audio),https://www.youtube.com/watch?v=g1wW6yPDqwY&list=PLvGkfagybAaZxmaV4E59aXme4QBoZDDMA&index=2,Heir Apparent,2008,Watershed Album,Studio,2
Opeth,Opeth - The Lotus Eater (Audio),https://www.youtube.com/watch?v=XhohQNdSt7g&list=PLvGkfagybAaZxmaV4E59aXme4QBoZDDMA&index=3,The Lotus Eater,2008,Watershed Album,Studio,3
Opeth,Opeth - Burden (With Lyrics),https://www.youtube.com/watch?v=GtCWCuoSjk4&list=PLvGkfagybAaZxmaV4E59aXme4QBoZDDMA&index=4,Burden,2008,Watershed Album,Studio,4
Opeth,Opeth - Porcelain Heart (Audio),https://www.youtube.com/watch?v=54O-jvjamvo&list=PLvGkfagybAaZxmaV4E59aXme4QBoZDDMA&index=5,Porcelain Heart,2008,Watershed Album,Studio,5
Opeth,Opeth - Hessian Peel (Audio),https://www.youtube.com/watch?v=MgV-bCxE6ZI&list=PLvGkfagybAaZxmaV4E59aXme4QBoZDDMA&index=6,Hessian Peel,2008,Watershed Album,Studio,6
Opeth,Opeth - Hex Omega (Audio),https://www.youtube.com/watch?v=DQh60zg3NaY&list=PLvGkfagybAaZxmaV4E59aXme4QBoZDDMA&index=7,Hex Omega,2008,Watershed Album,Studio,7
Opeth,"Opeth - Heritage & Credence at Union Chapel, London",https://www.youtube.com/watch?v=qDd0qpkP20A,Heritage,2011,Heritage,Live,1
Opeth,Opeth - The Devil's Orchard | Live in Sydney | Moshcam,https://www.youtube.com/watch?v=0ezAVAGaupI,The Devil's Orchard,2011,Heritage,Live,2
Opeth,Opeth - I Feel The Dark | Live in Sydney | Moshcam,https://www.youtube.com/watch?v=wS4HggCsPII,I Feel the Dark,2011,Heritage,Live,3
Opeth,Opeth - Slither | Live in Sydney | Moshcam,https://www.youtube.com/watch?v=Afe_bFleByQ,Slither,2011,Heritage,Live,4
Opeth,Opeth - Nepenthe | Live in Sydney | Moshcam,https://www.youtube.com/watch?v=qaE5hNHeHos,Nepenthe,2011,Heritage,Live,5
Opeth,Opeth - Häxprocess (Record Store Day Performance 2013),https://www.youtube.com/watch?v=-HuKN0AKctI,Häxprocess,2011,Heritage,Live,6
Opeth,Opeth - Famine (Live @ Glasgow 13-11-2012),https://www.youtube.com/watch?v=8ukyICcHLGc,Famine,2011,Heritage,Live,7
Opeth,Opeth - The Lines in My Hand (live at Be Prog My Friend in Barcelona),https://www.youtube.com/watch?v=cgKW4WC6h2I,The Lines in My Hand,2011,Heritage,Live,8
Opeth,Opeth - Folklore | Live in Sydney | Moshcam,https://www.youtube.com/watch?v=FzZEO_-gBxU,Folklore,2011,Heritage,Live,9
Opeth,"Opeth Unplugged - Marrow of the Earth - Union Chapel, London.",https://www.youtube.com/watch?v=BE1TBZ-06Ac,Marrow of the Earth,2011,Heritage,Live,10
Opeth,Opeth - Pyre (live),https://www.youtube.com/watch?v=poDyUsQj2wc,Pyre,2011,Heritage,Live,11
Opeth,Opeth - Heritage (Audio),https://www.youtube.com/watch?v=rty3zU57KSs,Heritage,2011,Heritage,Studio,1
Opeth,Opeth - The Devil's Orchard (Audio),https://www.youtube.com/watch?v=G1pi7Dn87mY,The Devil's Orchard,2011,Heritage,Studio,2
Opeth,Opeth - I Feel the Dark (Audio),https://www.youtube.com/watch?v=RfVGbqA6nQA,I Feel the Dark,2011,Heritage,Studio,3
Opeth,Opeth - Slither (Audio),https://www.youtube.com/watch?v=Qx1Pqpn75xk,Slither,2011,Heritage,Studio,4
Opeth,Opeth - Nepenthe (Audio),https://www.youtube.com/watch?v=lgyaVQ_XZA4,Nepenthe,2011,Heritage,Studio,5
Opeth,Opeth - Häxprocess (Audio),https://www.youtube.com/watch?v=_CNQjTtVRl8,Häxprocess,2011,Heritage,Studio,6
Opeth,Opeth - Famine (Audio),https://www.youtube.com/watch?v=T14BEUg9HIo,Famine,2011,Heritage,Studio,7
Opeth,Opeth - The Lines in My Hand (Audio),https://www.youtube.com/watch?v=6ZHt4jzQ_do,The Lines in My Hand,2011,Heritage,Studio,8
Opeth,Opeth - Folklore (Audio),https://www.youtube.com/watch?v=xMsSGNvQmoQ,Folklore,2011,Heritage,Studio,9
Opeth,Opeth - Marrow of the Earth (Audio),https://www.youtube.com/watch?v=0n_gJ13JZ-4,Marrow of the Earth,2011,Heritage,Studio,10
Opeth,"World Premiere: Opeth - ""Pyre""",https://www.youtube.com/watch?v=ndWUtmGOFRo,Pyre,2011,Heritage,Studio,11
Opeth,Face In The Snow - Opeth,https://www.youtube.com/watch?v=j0TsSfSdpSQ,Face in the Snow,2011,Heritage,Studio,12
Opeth,Opeth - Eternal Rains Will Come - Live Motocultor Festival 2015,https://www.youtube.com/watch?v=nRFDh2KV7aw,Eternal Rains Will Come,2014,Pale Communion,Live,1
Opeth,Opeth - Cusp of Eternity - Live Motocultor Festival 2015,https://www.youtube.com/watch?v=3wEl1M9MlFE,Cusp of Eternity,2014,Pale Communion,Live,2
Opeth,Opeth - Moon Above Sun Below - Live l'Olympia Paris 2019,https://www.youtube.com/watch?v=lEAK-1ejM80,"Moon Above, Sun Below",2014,Pale Communion,Live,3
Opeth,Opeth - Elysian Woes - 08.11.2014 - Hamburg - Große Freiheit 36,https://www.youtube.com/watch?v=LksuE3B377A,Elysian Woes,2014,Pale Communion,Live,4
Opeth,Opeth - Voice of Treason ( Live w/ Orchestra from Sorceress Deluxe Edition),https://www.youtube.com/watch?v=S5LZ3ZoQHdg,Voice of Treason,2014,Pale Communion,Live,7
Opeth,Opeth - Eternal Rains Will Come (Audio),https://www.youtube.com/watch?v=CoW3Sywb5xQ,Eternal Rains Will Come,2014,Pale Communion,Studio,1
Opeth,Opeth - Cusp Of Eternity (Audio),https://www.youtube.com/watch?v=JHq9yMXw3iA,Cusp of Eternity,2014,Pale Communion,Studio,2
Opeth,"Opeth - Moon Above, Sun Below (Audio)",https://www.youtube.com/watch?v=a3sYPX17cFk,"Moon Above, Sun Below",2014,Pale Communion,Studio,3
Opeth,Opeth - Elysian Woes (Audio),https://www.youtube.com/watch?v=_6k--wHwV5A,Elysian Woes,2014,Pale Communion,Studio,4
Opeth,Opeth - Goblin (Audio),https://www.youtube.com/watch?v=tHkb8u0NedQ,Goblin,2014,Pale Communion,Studio,5
Opeth,Opeth - River (Audio),https://www.youtube.com/watch?v=v-sGhzHzLSE,River,2014,Pale Communion,Studio,6
Opeth,Opeth - Voice of Treason (Audio),https://www.youtube.com/watch?v=iO4-mXMbiy8,Voice of Treason,2014,Pale Communion,Studio,7
Opeth,Opeth - Faith In Others (Audio),https://www.youtube.com/watch?v=wFSRCZN843c,Faith in Others,2014,Pale Communion,Studio,8
Opeth,OPETH - Sorceress (Official Live Video),https://www.youtube.com/watch?v=cHt4KNTgujQ,Sorceress,2016,Sorceress,Live,2
Opeth,Opeth - The Wilde Flowers - Live Paris 2016,https://www.youtube.com/watch?v=Xw55DMIOMME,The Wilde Flowers,2016,Sorceress,Live,3
Opeth,Opeth - Will O the Wisp (Houston 10.13.16) HD,https://www.youtube.com/watch?v=WK4F_MMJuJA,Will O the Wisp,2016,Sorceress,Live,4
Opeth,Opeth - Era (LIVE AT RED ROCKS AMPHITHEATRE),https://www.youtube.com/watch?v=05JnwyKaXY4,Era,2016,Sorceress,Live,10
Opeth,Opeth - Persephone (Subtítulos en Español) HD,https://www.youtube.com/watch?v=J7SBTLhj4mQ,Persephone,2016,Sorceress,Studio,1
Opeth,OPETH - Sorceress (OFFICIAL LYRIC VIDEO),https://www.youtube.com/watch?v=LhqijfqecvA,Sorceress,2016,Sorceress,Studio,2
